GDP,FER
12337.5,1.198903
12481.9,1.233735
13425.1,1.232412
13877.9,1.295066
14114.8,1.365507
14461.1,1.389471
16309,1.325983
18937,1.230701
20715.6,1.183972
21448.4,1.166774
21768.3,1.145726
20879.8,1.208723
20121.2,1.290088
19935.4,1.365673
20613.8,1.372445
21227.3,1.363522
21829.2,1.384598
20952.1,1.483505
22238.7,1.485705
24190.2,1.485394
23738.2,1.54884
24169.3,1.570343
28200.7,1.401015
32034.3,1.301282
36266.2,1.211405
40385.9,1.134345
44543,1.074046
46594.5,1.067087
40773.1,1.141535
47448,1.030113
52087.4,0.989258
52678.4,0.999365
52652.6,1.030137
50893.4,1.104747
43585.5,1.278786
42322.5,1.325615
45148.6,1.297936
46313.2,1.295818
46194.7,1.326854
