GDP,FER
197.1,1.704542
203.3,1.892542
225.4,1.975675
250.7,2.320042
294.5,2.936658
281.9,3.452792
251.8,3.7221
283.5,3.7221
310.9,3.765108
317.9,4.783208
333.1,5.323392
366.5,5.514592
377.4,5.761958
473.5,8.618743
609.7,8.351417
709.4,8.314175
781.7,8.289817
828.6,8.278958
873.3,8.27825
959.4,8.278504
1053.1,8.277068
1148.5,8.276958
1288.6,8.277037
1508.7,8.276801
1753.4,8.194317
2099.2,7.973438
2694,7.607532
3468.3,6.948655
3832.2,6.831416
4550.5,6.770269
5618.1,6.461461
6316.9,6.312333
7050.6,6.195758
7678.6,6.143434
8066.9,6.227489
8147.9,6.644478
8879.4,6.758755
9976.7,6.615957
10261.7,6.908385
