GDP,FER
270.5,8.658523
274.1,9.455132
291.2,10.098898
276.7,11.362583
296.4,12.36875
310.5,12.610833
340.4,12.9615
354.1,13.917083
346.1,16.2255
367.6,17.5035
303.1,22.742433
317,25.918083
301.2,30.493292
346.1,31.373742
373.8,32.427077
400,35.433173
415.5,36.313286
413.3,41.259365
442,43.055428
443.3,44.941605
451.6,47.186414
471,48.610319
546.7,46.583284
627.8,45.316467
714.9,44.099975
806.8,45.307008
1028.3,41.348533
998.5,43.505183
1102,48.405267
1357.6,45.725812
1458.1,46.670467
1443.9,53.437233
1449.6,58.597845
1573.9,61.029514
1605.6,64.151944
1732.6,67.195313
1981.7,65.121569
2005.9,68.389467
2099.6,70.419969
