GDP,FER
17153.4,1.964242
17478.7,2.030275
17342,2.099142
16499.1,2.349683
16655.3,2.457125
23751.4,1.798917
29558.9,1.491192
31743.7,1.4633
30401.9,1.635925
38428.4,1.389158
38399.2,1.433992
39534.5,1.406218
38100.7,1.477617
41843.8,1.367693
48662.4,1.182469
46676.9,1.23601
40418,1.451313
41497.2,1.449813
40581.3,1.502155
37868.3,1.688843
38539,1.687615
41376.4,1.558607
48087.6,1.346651
53340.1,1.243496
54952.7,1.245177
57579.5,1.253843
63555.2,1.200366
72487.8,1.08309
69927.5,1.088142
74605.7,1.042906
88415.6,0.888042
83538.2,0.937684
85112.5,0.926904
86605.6,0.916151
82081.6,0.962381
80172.2,0.985394
80450,0.984692
82818.1,0.977883
81993.7,0.993841
