CHINA,INDIA,JAPAN,UK,SWITZERLAND,CANADA,year
197.071474,270.47060239999996,10361.323059999999,9599.30622,17153.401319999997,12337.46625,1981
203.33491999999998,274.1113314,9578.113803,9146.07736,17478.65579,12481.87479,1982
225.431929,291.23811010000003,10425.40682,8691.51881,17341.994880000002,13425.12249,1983
250.713969,276.6679586,10984.865829999999,8179.19444,16499.146930000003,13877.917080000001,1984
294.45884900000004,296.43515160000004,11584.64933,8652.216540000001,16655.33739,14114.80776,1985
281.928121,310.4659351,17111.853730000003,10611.1122,23751.44952,14461.06924,1986
251.81195699999998,340.4168316,20745.25209,13118.5865,29558.895480000003,16308.96697,1987
283.53769500000004,354.1492516,25051.85432,15987.1681,31743.65291,18936.9641,1988
310.881912,346.1128873,24813.29938,16239.2822,30401.892480000002,20715.63148,1989
317.884673,367.55660930000005,25359.347019999997,19095.467,38428.3855,21448.36196,1990
333.142145,303.0556053,28925.04158,19900.7267,38399.21061,21768.34329,1991
366.460692,316.95392789999994,31464.54905,20487.1708,39534.542,20879.84833,1992
377.389839,301.15900419999997,35765.91409,18389.0196,38100.736730000004,20121.16125,1993
473.492279,346.1029503,39268.56687,19709.2381,41843.75688,19935.38146,1994
609.656679,373.76648,43440.36787,23123.1778,48662.48651,20613.78788,1995
709.413755,399.95007680000003,38436.92631,24332.6978,46676.81356,21227.347530000003,1996
781.744164,415.49379700000003,35021.71909,26734.5626,40417.94079,21829.23344,1997
828.580479,413.29893419999996,31902.7671,28214.2744,41497.15784,20952.06946,1998
873.2870619999999,441.99875959999997,36026.55608,28669.5397,40581.34936,22238.66454,1999
959.372484,443.31419339999997,38532.04088,28149.87,37868.296,24190.24962,2000
1053.10824,451.5730011,33846.465639999995,27744.5065,38538.9791,23738.18072,2001
1148.50829,470.98678590000003,32289.350539999996,30056.5862,41376.37281,24169.28473,2002
1288.64325,546.7266145,34808.39092,34419.1479,48087.54377,28200.65808,2003
1508.6681,627.7742473,37688.72234,40290.314,53340.19698,32034.307739999997,2004
1753.41783,714.8610135,37217.64873,42030.2866,54952.675489999994,36266.18712,2005
2099.22943,806.7532806,35433.98896,44599.6976,57579.50291,40385.86996,2006
2693.96983,1028.334771,35275.22843,50566.8266,63555.280920000005,44543.04104,2007
3468.3044600000003,998.5223390000001,39339.297569999995,47286.9985,72487.83471,46594.45095,2008
3832.23595,1101.96084,40855.175639999994,38713.1374,69927.44228999999,40773.06153,2009
4550.4536,1357.563719,44507.67639,39435.8399,74605.77451,47450.31847,2010
5618.13249,1458.103527,48167.99727,42038.5005,88415.61081,52101.796089999996,2011
6316.91886,1443.8795289999998,48603.47665,42462.7149,83538.21282,52542.34666,2012
7050.64592,1449.605912,40454.44746,43444.5648,85112.4696,52504.6557,2013
7651.366040000001,1573.881492,38109.412110000005,47417.635,86605.51739,50835.51118,2014
8033.388040000001,1605.605431,34524.469860000005,44966.1019,82081.60921000001,43495.05439,2015
8078.79047,1729.268021,38794.33094,41074.1673,80172.1933,42279.900819999995,2016
8759.04158,1981.268706,38331.9794,40361.4174,80450.04582,45069.92725,2017
9770.847090000001,2009.978857,39289.95843,42943.9023,82796.54716,46232.98962,2018
,2171.64,40846.78,41030.0,83716.81,46212.84,2019
