CHINA,INDIA,JAPAN,UK,SWITZERLAND,CANADA,year
1.41,3.752,228.831006,0.517091,1.949529,1.134384,1981
1.334,3.84,219.27663900000002,0.523053,1.971007,1.1629450000000001,1982
1.298,4.093,213.00724100000002,0.5291239999999999,1.9416099999999998,1.183843,1983
1.314,4.266,208.619257,0.53635,1.9444569999999999,1.183011,1984
1.402,4.431,204.772357,0.5483100000000001,1.92765,1.185028,1985
1.44,4.638,203.966037,0.560841,1.946937,1.197759,1986
1.4769999999999999,4.944,198.730394,0.5775899999999999,1.9416360000000001,1.2248620000000001,1987
1.6,5.17,193.15946200000002,0.591983,1.9278099999999998,1.23685,1988
1.673,5.397,189.792475,0.6149100000000001,1.919242,1.246145,1989
1.683341,5.334555,187.71051599999998,0.6394310000000001,1.935157,1.241934,1990
1.73711,5.869656,186.886355,0.658116,1.973106,1.237967,1991
1.837645,6.253371,185.7676,0.66502,1.97013,1.228063,1992
2.0680099999999997,6.711061,182.499528,0.667146,1.96922,1.21507,1993
2.4418889999999998,7.226514,179.158384,0.661989,1.9508849999999998,1.206976,1994
2.718702,7.719564999999999,174.542777,0.714214,1.9249150000000002,1.20881,1995
2.843385,8.155003,170.553312,0.714138,1.889922,1.207792,1996
2.8405270000000002,8.53595,168.50694099999998,0.708911,1.844312,1.2009530000000002,1997
2.78384,9.117078999999999,166.556262,0.720727,1.8276240000000001,1.185426,1998
2.7094110000000002,9.263086999999999,162.03574,0.725819,1.802836,1.1908100000000001,1999
2.704799,9.390794999999999,154.717851,0.704348,1.7882169999999997,1.227543,2000
2.700821,9.484726,149.724876,0.694385,1.768387,1.2211319999999999,2001
2.674847,9.683971000000001,143.774205,0.6898770000000001,1.70976,1.229333,2002
2.694499,9.875136999999999,139.516092,0.696639,1.717124,1.2263389999999998,2003
2.806331,10.166816,134.363066,0.688463,1.693341,1.2331940000000001,2004
2.827769,10.413996000000001,129.551955,0.707619,1.686548,1.213644,2005
2.852518,10.957279,124.536829,0.697328,1.600778,1.205783,2006
2.99316,11.411648,120.394202,0.709976,1.533726,1.212727,2007
3.164821,12.223075999999999,116.84581399999999,0.701691,1.493049,1.2343899999999999,2008
3.134264,12.984639,115.15006699999999,0.709391,1.468648,1.201386,2009
3.311352,14.186101,111.666587,0.701774,1.465083,1.221393,2010
3.505536,15.109435000000001,107.45428100000001,0.706052,1.397498,1.2399040000000001,2011
3.519888,16.001393,104.273972,0.701634,1.354072,1.244607,2012
3.533936,16.698279,101.302673,0.695248,1.3124770000000001,1.224,2013
3.4957599999999998,16.934248,103.052076,0.698444,1.2817610000000002,1.230358,2014
3.460943,17.137026000000002,103.44973900000001,0.692365,1.2354559999999999,1.2480040000000001,2015
3.460232,17.481263000000002,105.502599,0.6886720000000001,1.202086,1.206834,2016
3.5275819999999998,17.813169,105.37896200000002,0.682132,1.179916,1.204736,2017
3.549872,18.149282999999997,104.609975,0.6871189999999999,1.167667,1.198346,2018
3.53862,18.380962,103.367215,0.689107,1.155471,1.202552,2019
